commune,departemen,latitude,longitude
LA CHARITÉ-SUR-LOIRE,NIEVRE,47.179961208482794,3.0240819685860236
COULOMBIERS,SARTHE,48.30100235446759,0.10426165541216928
NOUAN-LE-FUZELIER,LOIR-ET-CHER,47.53653451578465,2.0324867380639873
LENTILLY,RHONE,45.821806042871735,4.667205453902535
EPINAL,VOSGES,48.146189503178356,6.4531488437268285
JONCHEREY,TERRITOIRE-DE-BELFORT,47.52481432883494,6.999789707654573
LONGJUMEAU,ESSONNE,48.68518999957188,2.3179300004768324
LONGWY,MEURTHE-ET-MOSELLE,49.512593284839596,5.769720766879927
CORBEIL-ESSONNES,ESSONNE,48.60950573743762,2.468506839470617
SILLÉ-LE-GUILLAUME,SARTHE,48.18166721354049,-0.12888094035966652
VIDAUBAN,VAR,43.43217380233364,6.433371018012591
CERCY-LA-TOUR,NIEVRE,46.85780324693483,3.6449903671537918
RÉMELFING,MOSELLE,49.09140885826924,7.091855334136151
SAILLAGOUSE,PYRENEES-ORIENTALES,42.456739807191354,2.032188215121433
TRIE-CHÂTEAU,OISE,49.28265560057893,1.8181439299784015
LOUHANS,SAONE-ET-LOIRE,46.631430705547885,5.215956085594542
LUNAS,HERAULT,43.70954220291399,3.1948905134212753
SERDINYA,PYRENEES-ORIENTALES,42.56153911368533,2.311245947030552
VAYRAC,LOT,44.95012834225401,1.70636922026252
COUSANCE,JURA,46.53478844322675,5.386641161654101
VERRUYES,DEUX-SEVRES,46.53303060730071,-0.30792145331456433
BRUZ,ILLE-ET-VILAINE,48.02873872991761,-1.7518631267565743
COURNEUVE (LA ),SEINE-SAINT-DENIS,48.94371820934706,2.411335416839307
SAINT-GILLES,ILLE-ET-VILAINE,48.14076892909775,-1.8813717596994264
BONNARD,YONNE,47.92684258309041,3.5403085115017596
MOURMELON-LE-PETIT,MARNE,49.13130217034676,4.31783347594631
CONCHES-EN-OUCHE,EURE,48.96215407253433,0.9379367014881342
SELESTAT,BAS-RHIN,48.26044285503573,7.442243817984608
BOURTH,EURE,48.765711870391435,0.804607667477099
NÉRONDES,CHER,46.9995359357183,2.8225847985943955
CIVRAY,VIENNE,46.15039847441549,0.28880413844345354
MONSEMPRON-LIBOS,LOT-ET-GARONNE,44.48651614022377,0.9412460698936349
DOL-DE-BRETAGNE,ILLE-ET-VILAINE,48.54389891148938,-1.7498724893257533
SAINGHIN-EN-WEPPES,NORD,50.55147231384028,2.9135590579698567
CHÂTEAU-CHINON(CAMPAGNE),NIEVRE,47.071854399311405,3.9261780922292147
SAINT-JEAN-D'ANGÉLY,CHARENTE-MARITIME,45.94079061795991,-0.5097423828569992
NEUILLY-SUR-MARNE,SEINE-SAINT-DENIS,48.86001055948099,2.521345042686295
PIMPREZ,OISE,49.53410484085848,2.9538606617886196
DIEUPENTALE,TARN-ET-GARONNE,43.865345155136325,1.2759702051261868
VILLEFRANCHE-SUR-MER,ALPES-MARITIMES,43.70695905788181,7.314225465594359
AIXE-SUR-VIENNE,HAUTE-VIENNE,45.796498528799575,1.1456476252049805
WIMILLE,PAS-DE-CALAIS,50.76418086582361,1.6137397960702655
MUNSTER,HAUT-RHIN,48.03908192914621,7.152972487896635
BARAQUEVILLE,AVEYRON,44.27060318836061,2.4281439274380183
MARTIGNÉ-FERCHAUD,ILLE-ET-VILAINE,47.83198913081575,-1.3134643682645413
COLMAR,HAUT-RHIN,48.0753101168764,7.349087420944784
BEAUNE-LA-ROLANDE,LOIRET,48.07320338385587,2.419689053409046
SAINT-ERME-OUTRE-ET-RAMECOURT,AISNE,49.526755561404634,3.8576210423603996
MANTES-LA-VILLE,YVELINES,48.98335963756394,1.7157372027681375
BORDEAUX,GIRONDE,44.8425539714713,-0.6274455363194279
DREFFÉAC,LOIRE-ATLANTIQUE,47.482266598320685,-2.0499961329747993
SAINT-FLOUR,CANTAL,45.0349715193197,3.106143478141461
SAINT-RAMBERT-D'ALBON,DROME,45.2979278164122,4.810540173755349
